,Tweets,clean_tweet,polarity,subjectivity,,Product,,,,,
05-03-2020 04:18,b'@iLeexi Bro i used to work with a boss equally as adhd as me in Verizon and we would both get in trouble \xf0\x9f\x98\x82',used work with boss equally adhd Verizon would both trouble,0.2,0.6,,0.12,,,,,
05-03-2020 04:16,"b""@ATT you have ok signal..... Horrible everything else can't wait to make this last payment tomorrow #badservice\xe2\x80\xa6 https://t.co/PtorweXVgr""",have signal Horrible everything else wait make this last payment tomorrow badservice https PtorweXVgr,0,0,,0,,,,,
05-03-2020 04:16,b'@h3IIish i have to get verizon first \xf0\x9f\x99\x8f\xf0\x9f\x98\x81\xf0\x9f\x92\x94',have verizon first,0.933333333,1,,0.933333333,,,,,
05-03-2020 04:15,b'@jnthnwll My sophomore year in high school I had my mom storm in my room with a $700 phone bill because we just mov\xe2\x80\xa6 https://t.co/q3zClm3jmH',sophomore year high school storm room with phone bill because just https zClm,0.214285714,0.642857143,,0.137755102,,,,,
05-03-2020 04:14,"b""@MerrySnark I didn't get notifications either now that I think about it (Verizon Android). I was up watching local\xe2\x80\xa6 https://t.co/90zVRvFn7R""",didn notifications either that think about Verizon Android watching local https zVRvFn,0,0,,0,,,,,
05-03-2020 04:12,"b'RT @DebbieBermeo: Our VIL Lab is a hub of excitement and learning!! Thanks to @verizon volunteers, @ITI_LAUSD @HeartofAmericaF @ASU @LAScho\xe2\x80\xa6'",excitement learning Thanks volunteers,0,0,,0,,,,,
05-03-2020 04:29,b'@MaribethW9007 @FlagshipCredit Can I pay your Verizon bill',your Verizon bill,-0.1875,0.5,,-0.09375,,,,,
05-03-2020 04:26,"b'@verizon I just bought a phone and I\xe2\x80\x99m thinking of returning it, can I or will I have a problem? Considering the co\xe2\x80\xa6 https://t.co/2gRtlMfXTG'",just bought phone thinking returning will have problem Considering https gRtlMfXTG,0,0,,0,,,,,
07-03-2020 12:46,"b""RT @JohnLegere: Nobody: \n \nVerizon: We'll only carry the two most expensive #GalaxyS20 phones &amp; unless you\xe2\x80\x99re on our most expensive plan yo\xe2\x80\xa6""",Nobody nVerizon only carry most expensive GalaxyS phones unless most expensive plan,0,0,,0,,,,,
07-03-2020 12:45,"b""Why would a 3000 point selloff result in a lower profit for Verizon?\n\nIt doesn't.\n\n@cspanwj""",would point selloff result lower profit Verizon doesn,-0.060714286,0.307142857,,-0.018647959,,,,,
07-03-2020 12:45,b'Verizon Boosts Security Portfolio With Blockchain Technology https://t.co/uWV4LGFrxq https://t.co/iJp1rin1xt',Verizon Boosts Security Portfolio With Blockchain Technology https LGFrxq https,0,0,,0,,,,,
07-03-2020 12:37,b'@verizon I would capture baseball game photos! #GalaxyS20onVerizon5G  #Contest',would capture baseball game photos GalaxyS onVerizon Contest,0,0,,0,,,,,
07-03-2020 12:36,b'RT @ibieberauhlIs: @AlfredoFlores @verizon can we talk about good you look? bc wow bye #AlfredoFlores #FaveTourPhotographer #iHeartAwards',talk about good look AlfredoFlores FaveTourPhotographer iHeartAwards,0,0,,0,,,,,
07-03-2020 12:35,b'@JonnylStevenson @ATT @courtneedjordan @DIRECTV @verizon I think we will end up going this route. Our issue is stil\xe2\x80\xa6 https://t.co/q3y3HdW0mO',think will going this route issue stil https,0,0,,0,,,,,
07-03-2020 12:31,b'Cellular Sales is always on the lookout for talented people to contribute to our continued growth across the United\xe2\x80\xa6 https://t.co/58Yom7u7gA',Cellular Sales always lookout talented people contribute continued growth across United https,0,0,,0,,,,,
07-03-2020 12:26,"b""RT @hvairinhos: @_benoux_ It reminds me of the classic Verizon's $0.002. Closed cultures &amp; positions of power, however small, create blinds\xe2\x80\xa6""",reminds classic Verizon Closed cultures positions power however small create blinds,0,0,,0,,,,,
07-03-2020 12:26,"b'When you stay up a bit later because you figure you can sleep in the next morning, then get a robo-call at 3am!\xe2\x80\xa6 https://t.co/XrFN6PI8oz'",When stay later because figure sleep next morning then robo call https XrFN,0,0,,0,,,,,
07-03-2020 12:26,b'Verizon CFO: #5G experience has to better than 4G \xe2\x80\x98to justify a price differential\xe2\x80\x99 | RCR Wireless #TeamEricsson https://t.co/FrrSR9bmWC',Verizon experience better than justify price differential Wireless TeamEricsson https FrrSR bmWC,0.1,0.35,,0.035,,,,,
07-03-2020 12:25,b'@kylemsounds verizon',verizon,0,0,,0,,,,,
07-03-2020 12:23,b'Verizon outage map right now. https://t.co/rEFmpek3GI',Verizon outage right https rEFmpek,-0.060714286,0.307142857,,-0.018647959,,,,,
07-03-2020 12:18,"b""We're hiring! Read about our latest job opening here: Verizon Sales Consultant - https://t.co/IAPTQD9bTx #Sales #CollegeGrad""",hiring Read about latest opening here Verizon Sales Consultant https IAPTQD Sales CollegeGrad,0,0,,0,,,,,
07-03-2020 12:17,"b""Coming up next on CCTV's HD channel (Verizon 2143)\n3/7/2020 8:00:00 AM:     Canton Hockey Tradition 2010""",Coming next CCTV channel Verizon Canton Hockey Tradition,0.047222222,0.311111111,,0.014691358,,,,,
07-03-2020 13:54,"b""RT @CNBC: New for subscribers:  Analysts upgraded these stocks, saying they're safe from the coronavirus outbreak https://t.co/DeNfiwp2Ng C\xe2\x80\xa6""",subscribers Analysts upgraded these stocks saying they safe from coronavirus outbreak https DeNfiwp,0,0,,0,,,,,
07-03-2020 13:53,"b'RT @MarieHyde: Why does Trump in 2020 allow #ATT to FIRE AMERICAN workers, HIRE #INDIA visas?\nWhy did trump allow in 2018 #Verizon to FIRE\xe2\x80\xa6'",does Trump allow FIRE AMERICAN workers HIRE INDIA visas nWhy trump allow Verizon FIRE,0,0,,0,,,,,
07-03-2020 13:52,"b""@verizon love how when it come drop somthing they can't answer or don't want to fix they just act like they never s\xe2\x80\xa6 https://t.co/iEdEFW1eZD""",love when come drop somthing they answer want they just like they never https iEdEFW,0,0,,0,,,,,
07-03-2020 13:51,"b""RT @CNBC: Your weekend brief: Analysts upgraded these stocks, saying they're safe from the coronavirus outbreak https://t.co/LP22BgIzud""",Your weekend brief Analysts upgraded these stocks saying they safe from coronavirus outbreak https BgIzud,-0.1,0.225,,-0.0225,,,,,
07-03-2020 13:50,b'From Felipe Erazo in Cointelegraph on Verizon and Blockchain\nhttps://t.co/PJxpqRTL44 https://t.co/J8e7kxK60G',From Felipe Erazo Cointelegraph Verizon Blockchain nhttps PJxpqRTL https,0,0,,0,,,,,
07-03-2020 13:49,b'I hate Verizon',hate Verizon,-0.5,0.533333333,,-0.266666667,,,,,
07-03-2020 13:48,"b""RT @DanaWollman: Austin canceled SXSW because the organizers wouldn't do it themselves. FWIW, Engadget and Verizon Media more broadly had a\xe2\x80\xa6""",Austin canceled SXSW because organizers wouldn themselves FWIW Engadget Verizon Media more broadly,0,0,,0,,,,,
07-03-2020 13:47,b'My service is so much better with Verizon I love it here \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d',service much better with Verizon love here,0.25,0.333333333,,0.083333333,,,,,
07-03-2020 13:45,"b""@verizon #Contest #GalaxyS20onVerizon5G I'd make home videos of my baby nephew being cute as can be and I'll take m\xe2\x80\xa6 https://t.co/mgBN7rP8wJ""",Contest GalaxyS onVerizon make home videos baby nephew being cute take https mgBN,0,0,,0,,,,,
07-03-2020 13:45,"b""RT @CNBCPro: Analysts upgraded these stocks, saying they're safe from the coronavirus outbreak https://t.co/eKQgZ4UCgY""",Analysts upgraded these stocks saying they safe from coronavirus outbreak https eKQgZ UCgY,0.16,0.54,,0.0864,,,,,
07-03-2020 13:44,"b""RT @CNBC: New for subscribers:  Analysts upgraded these stocks, saying they're safe from the coronavirus outbreak https://t.co/DeNfiwp2Ng C\xe2\x80\xa6""",subscribers Analysts upgraded these stocks saying they safe from coronavirus outbreak https DeNfiwp,0,0,,0,,,,,
07-03-2020 13:43,"b""RT @CNBC: Your weekend brief: Analysts upgraded these stocks, saying they're safe from the coronavirus outbreak https://t.co/LP22BgIzud""",Your weekend brief Analysts upgraded these stocks saying they safe from coronavirus outbreak https BgIzud,0,0,,0,,,,,
07-03-2020 13:42,"b'@Drea__Diaz @ArmandoAlvarez If anyone in your family has a Verizon unlimited data plan, disney+ is free!'",anyone your family Verizon unlimited data plan disney free,0,0,,0,,,,,
07-03-2020 13:42,b'@JohnLegere @TMobile So glad I finally switched from Verizon after 20 years!',glad finally switched from Verizon after years,0.2,0.2,,0.04,,,,,
07-03-2020 13:42,"b""RT @CNBC: Your weekend brief: Analysts upgraded these stocks, saying they're safe from the coronavirus outbreak https://t.co/LP22BgIzud""",Your weekend brief Analysts upgraded these stocks saying they safe from coronavirus outbreak https BgIzud,0,0,,0,,,,,
08-03-2020 10:08,"b'Enjoy a good work/life balance at Cellular Sales. We\xe2\x80\x99re hiring a new Verizon Sales Consultant in #Huntsville, AL. A\xe2\x80\xa6 https://t.co/oSKFUfwFAp'",Enjoy good work life balance Cellular Sales hiring Verizon Sales Consultant Huntsville https oSKFUfwFAp,0,0,,0,,,,,
08-03-2020 10:06,b'Verizon Jobs in India | About Verizon https://t.co/w7YnKZ1x0X',Verizon Jobs India About Verizon https YnKZ,0,0,,0,,,,,
08-03-2020 10:06,b'@phxnightdriver Also believe the taxis using signal jammers to stop internet connection specifically around that 2\xe2\x80\xa6 https://t.co/y6wYZl1mpV',Also believe taxis using signal jammers stop internet connection specifically around that https wYZl,0,0,,0,,,,,
08-03-2020 10:04,"b'This week\xe2\x80\x99s announcement of #blockchain products builds on previous research. In September, Verizon  was awarded a\xe2\x80\xa6 https://t.co/5mCfdXWNWA'",This week announcement blockchain products builds previous research September Verizon awarded https mCfdXWNWA,0,0,,0,,,,,
08-03-2020 09:55,"b'Cellular Sales is committed to helping our teams grow personally and professionally through collaboration, coaching\xe2\x80\xa6 https://t.co/NnRgW8BR3d'",Cellular Sales committed helping teams grow personally professionally through collaboration coaching https NnRgW,0,0,,0,,,,,
08-03-2020 09:55,"b'RT @6BillionPeople: Tonight, I\xe2\x80\x99m rocking the red carpet with @Verizon\xe2\x80\x94 #5GBuiltRight  which was a star-filled night. I got to experience th\xe2\x80\xa6'",Tonight rocking carpet with GBuiltRight which star filled night experience,0,0,,0,,,,,
08-03-2020 09:54,"b'@Google @Android @verizon I have both a Pixel 3XL &amp; Pixel 4XL &amp; live in Phoenix, AZ. No time change. My 3 kept corr\xe2\x80\xa6 https://t.co/Eivs7ETukR'",have both Pixel Pixel live Phoenix time change kept corr https Eivs ETukR,-0.060714286,0.307142857,,-0.018647959,,,,,
08-03-2020 09:48,"b""Want to work at Cellular Sales? We're hiring in #Orange, VT! Click for details: https://t.co/JkHz1kLiUK #Sales""",Want work Cellular Sales hiring Orange Click details https JkHz kLiUK Sales,0,0,,0,,,,,
08-03-2020 09:39,b'RT @MindVale: #News #blockchain #cybercrime Verizon Uses Blockchain Technology to Boost Security Portfolio https://t.co/AFSbuXPv1L',News blockchain cybercrime Verizon Uses Blockchain Technology Boost Security Portfolio https AFSbuXPv,0,0,,0,,,,,
08-03-2020 09:35,b'RT @MarieHyde: Why does @realDonaldTrump appear to have love affair with #INDIA RACISM caste system culture? Country NEVER achieved #1 in N\xe2\x80\xa6',does appear have love affair with INDIA RACISM caste system culture Country NEVER achieved,0,0,,0,,,,,
08-03-2020 09:29,b'@chriscardinal @VZWSupport Haha that was a problem for me as well years back on Verizon. If I remember correctly it\xe2\x80\xa6 https://t.co/wi4vbRlyh9',Haha that problem well years back Verizon remember correctly https vbRlyh,0,0,,0,,,,,
08-03-2020 09:28,b'Verizon... Wtf??? @Speedtest result! How fast is your internet? \xe2\x81\xa6@VerizonSupport\xe2\x81\xa9 \xe2\x81\xa6@VZWSupport\xe2\x81\xa9 \xe2\x81\xa6@verizon\xe2\x81\xa9  https://t.co/gmwQHQ73VG',Verizon result fast your internet https gmwQHQ,0,0,,0,,,,,
08-03-2020 09:26,b'I\xe2\x80\x99m good. @verizon https://t.co/jQuAjR0Kph',good https jQuAjR,0,0,,0,,,,,
08-03-2020 09:25,b'@verizon #GalaxyS20onVerizon5G and #Contest ----I would capture everything!',GalaxyS onVerizon Contest would capture everything,0,0,,0,,,,,
08-03-2020 09:24,"b'AT&amp;T got cornonavirus, thank god i got verizon \n\nhttps://t.co/dwe7u9GPbu'",cornonavirus thank verizon nhttps GPbu,0.1,0.35,,0.035,,,,,
14-03-2020 13:29,b'@cnnbrk Trump supporters always mad when they hear the truth but want to support a lie until it affects them. As so\xe2\x80\xa6 https://t.co/fKL7cO2dom',Trump supporters always when they hear truth want support until affects them https,0,0,,0,,,,,
14-03-2020 13:28,b'Bitchhhhh i know Verizon better be included with high ass !! https://t.co/lgl4YMRW5s',Bitchhhhh know Verizon better included with high https YMRW,-0.060714286,0.307142857,,-0.018647959,,,,,
14-03-2020 13:28,"b'@Airtel_Presence @airtelindia Dear Guys,\nAre we planning to launch an MVNO (Mobile Virtual Network Operator) as a s\xe2\x80\xa6 https://t.co/0zWuPUg3wC'",Dear Guys nAre planning launch MVNO Mobile Virtual Network Operator https zWuPUg,0,0,,0,,,,,
14-03-2020 13:28,b'@jonnymcbee @sprint @verizon @TMobile @ATT I just switched over to straight talk they use Verizon towers. $35 a mon\xe2\x80\xa6 https://t.co/DQES3xXWL1',just switched over straight talk they Verizon towers https DQES xXWL,0.047222222,0.311111111,,0.014691358,,,,,
14-03-2020 13:28,b'RT @factsfaraone: @CoxComm has a moratorium on terminating cable and internet service during the #coronavirus pandemic . @verizon and @nati\xe2\x80\xa6',moratorium terminating cable internet service during coronavirus pandemic,0,0,,0,,,,,
14-03-2020 13:27,"b'Verizon said \xe2\x80\x9cyeah I\xe2\x80\x99m sorry to hear that, but unfortunately, we can\xe2\x80\x99t refund\xe2\x80\x9d\xe2\x80\xa6.\n\nNigga WHAT!!???'",Verizon said cyeah sorry hear that unfortunately refund nNigga WHAT,0,0,,0,,,,,
14-03-2020 13:26,"b""First of all...I know this is spam because baaaaaaby! Verizon already know I'm coming through with a payment arrang\xe2\x80\xa6 https://t.co/d5wBKkDjKC""",First know this spam because baaaaaaby Verizon already know coming through with payment arrang https wBKkDjKC,0,0,,0,,,,,
14-03-2020 13:26,"b'RT @NJBPU: All New Jersey phone and cable providers \xe2\x80\x93 including @verizon, @centurylink, @AlticeUSA, @comcast, and @CharterNewsroom \xe2\x80\x93 have s\xe2\x80\xa6'",Jersey phone cable providers including have,-0.1,0.225,,-0.0225,,,,,
14-03-2020 13:25,"b'Swallowed my phone last night and now I got a Cricket in my neck. But don\xe2\x80\x99t Huawei, help is on the Verizon. I\xe2\x80\x99m goi\xe2\x80\xa6 https://t.co/FUk17mUREn'",Swallowed phone last night Cricket neck Huawei help Verizon https mUREn,0,0,,0,,,,,
14-03-2020 13:25,b'@verizon I feel like due to this corona virus crisis you should give me unlimited data. Thanks \xf0\x9f\x98\x8a',feel like this corona virus crisis should give unlimited data Thanks,-0.5,0.533333333,,-0.266666667,,,,,
14-03-2020 13:25,b'@MrsB_TheOne @verizon I switched to Verizon on my lunch yesterday . I did have AT&amp;T but i was gonna turn it off in\xe2\x80\xa6 https://t.co/uDmLhXkIpV',switched Verizon lunch yesterday have gonna turn https uDmLhXkIpV,0,0,,0,,,,,
14-03-2020 13:24,"b'RT @AirwaveAdvisors: One of the better faux tree cell tower installations. A Verizon tower in San Marcos, CA. Photo shot with @AirwaveAdvis\xe2\x80\xa6'",better faux tree cell tower installations Verizon tower Marcos Photo shot with,0.25,0.333333333,,0.083333333,,,,,
14-03-2020 13:24,"b'One of the better faux tree cell tower installations. A Verizon tower in San Marcos, CA. Photo shot with\xe2\x80\xa6 https://t.co/ewI0gfcKUg'",better faux tree cell tower installations Verizon tower Marcos Photo shot with https gfcKUg,0,0,,0,,,,,
14-03-2020 13:24,b'Verizon said u will pay this mf bill lol https://t.co/qdjV6jzI5q',Verizon said will this bill https qdjV,0.16,0.54,,0.0864,,,,,
14-03-2020 13:24,b'@MrS_Go_Get_iiTT @verizon Lmmfao! I thought you had at&amp;t',Lmmfao thought,0,0.68,,0,,,,,
15-03-2020 12:03,"b'RT @verizon: Win the Samsung Galaxy S20 Ultra 5G on Verizon and take your content to the next level! To enter, tweet @Verizon with #GalaxyS\xe2\x80\xa6'",Samsung Galaxy Ultra Verizon take your content next level enter tweet with GalaxyS,0,0,,0,,,,,
15-03-2020 12:03,b'Verizon closing some retail stores to slow spread of coronavirus - CNET https://t.co/XRJ3NqdIhW',Verizon closing some retail stores slow spread coronavirus CNET https NqdIhW,0,0.68,,0,,,,,
15-03-2020 12:01,b'@mikeylema3 @ATT AT&amp;T has the worst customer service. Even in person \xf0\x9f\x98\x82\nRecommend Verizon but it really just depends\xe2\x80\xa6 https://t.co/ujhLTtzX8P',worst customer service Even person nRecommend Verizon really just depends https ujhLTtzX,0,0,,0,,,,,
15-03-2020 12:01,b'RT @aster_cloud: - @verizon Will Help Customers And #SmallBusinesses Disrupted By Impact Of #coronavirus \n\nhttps://t.co/jHFmcahjRW',Will Help Customers SmallBusinesses Disrupted Impact coronavirus nhttps jHFmcahjRW,0,0,,0,,,,,
15-03-2020 12:00,"b'RT @ScottWapnerCNBC: Can\xe2\x80\x99t Verizon, AT&amp;T and others send emergency blast messages to every mobile phone on their networks to say stay home?\xe2\x80\xa6'",Verizon others send emergency blast messages every mobile phone their networks stay home,0,0,,0,,,,,
15-03-2020 11:59,"b'RT @hansvestberg: Our customers and communities rely on us to keep them connected. As the world\xe2\x80\x99s response to COVID-19 evolves, balancing o\xe2\x80\xa6'",customers communities rely keep them connected world response COVID evolves balancing,0,0,,0,,,,,
15-03-2020 11:58,b'@xfinitymobile Are we also getting out data cap expanded or released during this time? Is @verizon allowing you to\xe2\x80\xa6 https://t.co/dRBtct8YFW',also getting data expanded released during this time allowing https dRBtct,0,0,,0,,,,,
15-03-2020 11:57,b'@Lady44Sassy Isn\xe2\x80\x99t this in America? Verizon in the back ground?',this America Verizon back ground,-0.4,0.4,,-0.16,,,,,
15-03-2020 11:57,"b'RT @Space_City_Pops: @hansvestberg @verizon @CDCgov why not close ALL stores? Nothing critical happens in a store, and cell phones are mass\xe2\x80\xa6'",close stores Nothing critical happens store cell phones mass,0,0,,0,,,,,
15-03-2020 11:56,b'RT @dpvils: Thank you to Verizon for answering the call and providing much-needed bandwidth increases so students can continue learning fro\xe2\x80\xa6',Thank Verizon answering call providing much needed bandwidth increases students continue learning,0.7,0.6,,0.42,,,,,
15-03-2020 11:56,"b""RT @VerizonPolicy: The latest on @Verizon's #CoronaVirus / #COVID\xe3\x83\xbc19 response: https://t.co/VpbeoeXMcS""",latest CoronaVirus COVID response https VpbeoeXMcS,0,0,,0,,,,,
15-03-2020 11:54,"b'RT @ScottWapnerCNBC: Can\xe2\x80\x99t Verizon, AT&amp;T and others send emergency blast messages to every mobile phone on their networks to say stay home?\xe2\x80\xa6'",Verizon others send emergency blast messages every mobile phone their networks stay home,0,0,,0,,,,,
15-03-2020 11:54,b'@BryantEslava @verizon I was looking at the cloud that had a caveman face and long hair',looking cloud that caveman face long hair,0,0,,0,,,,,
15-03-2020 11:51,"b'@techamys @VZWSupport Been seeing this, not sure why Verizon can\xe2\x80\x99t just confirm or deny this right here instead of\xe2\x80\xa6 https://t.co/yl54x6GPPN'",Been seeing this sure Verizon just confirm deny this right here instead https GPPN,0.7,0.9,,0.63,,,,,
15-03-2020 11:51,"b""@verizon #GalaxyS20onVerizon5G #contest \nI would love a chance to capture the next year's worth of sunsets and sunr\xe2\x80\xa6 https://t.co/RYFvYOrFk1""",GalaxyS onVerizon contest would love chance capture next year worth sunsets sunr https RYFvYOrFk,0,0,,0,,,,,
16-03-2020 11:05,"b'RT @Techmeme: FCC says it netted $4.47B for 5G mmWave bands in its spectrum auction and $2.7B for 24GHz and 28GHz bands with AT&amp;T, T-Mobile\xe2\x80\xa6'",says netted mmWave bands spectrum auction bands with Mobile,-0.061111111,0.222222222,,-0.013580247,,,,,
16-03-2020 11:04,b'RT @MPowersNorrell: Can we convince you to match this @comporium ? @verizon ? @ATT ?',convince match this,0,0,,0,,,,,
16-03-2020 11:03,b'RT @MPowersNorrell: Can we convince you to match this @comporium ? @verizon ? @ATT ?',convince match this,0,0,,0,,,,,
16-03-2020 11:03,b'Verizon the biggest winner of the latest US millimeter-wave auction. | https://t.co/6zK8OZej88 #TeamEricsson https://t.co/zy2yLCisR6',Verizon biggest winner latest millimeter wave auction https OZej TeamEricsson https yLCisR,0,0,,0,,,,,
16-03-2020 11:01,b'Samsung Galaxy S10 128GB (Verizon)...: List Price: $899 Deal Price: $449.99 You Save: $50% https://t.co/rPMYjeFbUF https://t.co/O1i3r6Vu47',Samsung Galaxy Verizon List Price Deal Price Save https rPMYjeFbUF https,0.5,0.5,,0.25,,,,,
16-03-2020 11:00,b'Shame on you Verizon! My elderly parents are without internet and where are you to help in this crisis?\xe2\x80\xa6 https://t.co/dY0I6d9aWb',Shame Verizon elderly parents without internet where help this crisis https,0,0,,0,,,,,
16-03-2020 11:00,b'AT&amp;T is almost down 10%. Verizon is down 6.66%.',almost down Verizon down,0,0,,0,,,,,
16-03-2020 11:00,b'One of the most powerful forces in our rapidly digitising world is the mobile network and all that it carrier under\xe2\x80\xa6 https://t.co/ZEqYFcK0bA',most powerful forces rapidly digitising world mobile network that carrier under https ZEqYFcK,0,0,,0,,,,,
16-03-2020 10:59,"b'RT @Reuters: The FCC says major internet providers \xe2\x80\x94 including Comcast Corp, AT&amp;T Inc and Verizon Communications Inc \xe2\x80\x94 have agreed to not t\xe2\x80\xa6'",says major internet providers including Comcast Corp Verizon Communications have agreed,0.285714286,0.535714286,,0.153061224,,,,,
16-03-2020 10:58,"b'&lt;span role=""text""&gt;Update: Verizon is prepared to serve customers during COVID-19 crisis&lt;/span&gt; https://t.co/Bb1xVlVYZA via @verizon'",span role text Update Verizon prepared serve customers during COVID crisis span https xVlVYZA,0,0,,0,,,,,
16-03-2020 10:57,b'Which is better @TMobile or @verizon ?',Which better,0.5,0.9,,0.45,,,,,
16-03-2020 10:57,b'RT @AlexDServello: Proud to say #IAmVZ-@verizon responds to Coronavirus pandemic by providing 90k #verizoninnovativelearning students/teach\xe2\x80\xa6',Proud IAmVZ responds Coronavirus pandemic providing verizoninnovativelearning students teach,0,0,,0,,,,,
16-03-2020 10:55,"b'@ShortTbyNature @verizon @comcast I\xe2\x80\x99ve had Verizon for years and every year, their prices increase for some BS reas\xe2\x80\xa6 https://t.co/HAzspTMSjR'",Verizon years every year their prices increase some reas https HAzspTMSjR,0,0,,0,,,,,
16-03-2020 10:55,b'Verizon with the shameless 5G plug \xf0\x9f\xa4\xa3\xf0\x9f\x98\x82 https://t.co/538xV7xJkT',Verizon with shameless plug https xJkT,0.5,0.5,,0.25,,,,,
16-03-2020 10:55,b'@verizon Hello. Can you help me ? Please unlock my iphone !',Hello help Please unlock iphone,0,0,,0,,,,,
