,Tweets,clean_tweet,polarity,subjectivity,,Product,,,
15-03-2020 09:43,"b'Centurylink Inc $CTL CFO Buys $270,000.00 in Stock  https://t.co/6e3XIl3yH7'",Centurylink Buys Stock https,0,0,,0,,,
15-03-2020 09:40,"b'Centurylink Inc $CTL CFO Buys $270,000.00 in Stock https://t.co/vTYjs05v5T'",Centurylink Buys Stock https vTYjs,0,0,,0,,,
15-03-2020 09:40,"b'Centurylink Inc $CTL CFO Buys $270,000.00 in Stock https://t.co/sBcLgIEm5y'",Centurylink Buys Stock https sBcLgIEm,0,0,,0,,,
15-03-2020 09:33,"b'@GG_Trev @CenturyLink Hello Trev, we are aware of this issue and we apologize for the inconvenience that it has cau\xe2\x80\xa6 https://t.co/pl5Y9PjdTE'",Hello Trev aware this issue apologize inconvenience that https PjdTE,0.25,0.25,,0.0625,,,
15-03-2020 09:29,b'Interested in a job in #Poznan? This could be a great fit: https://t.co/uRfVI52PHl #IT',Interested Poznan This could great https uRfVI,0.525,0.625,,0.328125,,,
15-03-2020 09:29,"b'Nervous to apply for a job like ""ACCOUNT MANAGER SENIOR"" at CenturyLink? Apply even if you\'re not a 100% match. You\xe2\x80\xa6 https://t.co/iiLr1OgbAO'",Nervous apply like ACCOUNT MANAGER SENIOR CenturyLink Apply even match https iiLr OgbAO,0,0,,0,,,
16-03-2020 10:45,"b'By expanding its #fibernetwork infrastructure in the #Charleston region, #CenturyLink is helping meet the demand fo\xe2\x80\xa6 https://t.co/LT77uHIA4N'",expanding fibernetwork infrastructure Charleston region CenturyLink helping meet demand https uHIA,0,0,,0,,,
16-03-2020 09:45,b'CenturyLink EMEA posted on LinkedIn https://t.co/qQe0WV85jW https://t.co/2pcZ0T8I32',CenturyLink EMEA posted LinkedIn https https,0,0,,0,,,
16-03-2020 09:34,"b""RT @memphb: @dhh @Verint @kingstontech @CenturyLink @SALTStaffing @MorganStanley @Darktrace I'm surprised on mentioning Morgan Stanley here\xe2\x80\xa6""",surprised mentioning Morgan Stanley here,0,0,,0,,,
16-03-2020 09:14,"b'With the addition of @IBMcloud, @CenturyLink Cloud connect Dynamic Connections is one of the most diverse network e\xe2\x80\xa6 https://t.co/6Og4WNl4Ah'",With addition Cloud connect Dynamic Connections most diverse network https,0,0,,0,,,
16-03-2020 09:14,b'Getting a full image of what current challenges your organization is facing with #WAN and what you would ideally li\xe2\x80\xa6 https://t.co/cQGQUWnYbN',Getting full image what current challenges your organization facing with what would ideally https cQGQUWnYbN,0.416666667,0.65,,0.270833333,,,
16-03-2020 09:00,b'CenturyLink adds IBM Cloud to its Cloud Connect portfolio https://t.co/hfMlqclZT4',CenturyLink adds Cloud Cloud Connect portfolio https hfMlqclZT,0,0,,0,,,
16-03-2020 08:54,"b""Want to work at CenturyLink? We're hiring in #Munich, BY! Click for details: https://t.co/ygaWnYvd0S #SkilledTrade""",Want work CenturyLink hiring Munich Click details https ygaWnYvd SkilledTrade,0,0,,0,,,
16-03-2020 08:30,"b'Take a look at our latest video. We\xe2\x80\x99re discussing our 10-year long partnership with @CenturyLink, how we work toget\xe2\x80\xa6 https://t.co/a0lMLyVwpA'",Take look latest video discussing year long partnership with work toget https lMLyVwpA,0,0,,0,,,
16-03-2020 08:00,b'RT @GeeScottSr: Remember when a staff member at Centurylink field was confirmed to have had COVID-19 prior to the last Sounders match? Then\xe2\x80\xa6',Remember when staff member Centurylink field confirmed have COVID prior last Sounders match Then,0,0,,0,,,
16-03-2020 08:00,b'RT @motherboard: *DJ Khaled voice* another one https://t.co/yC3nkq0x6r',Khaled voice another https,0,0,,0,,,
16-03-2020 07:57,b'Can you boost up my internet speeds for a bit so I can start streaming more @CenturyLink \xf0\x9f\xa5\xba',boost internet speeds start streaming more,0,0,,0,,,
16-03-2020 07:28,b'CenturyLink adds IBM Cloud to its Cloud Connect portfolio https://t.co/ewnb9H7uqe #IBMCloud #IBM #Cloud',CenturyLink adds Cloud Cloud Connect portfolio https ewnb IBMCloud Cloud,0,0,,0,,,
16-03-2020 07:20,"b'RT @dhh: Quick hits. No broad-policy work-from-home at @verint, @kingstontech, @CenturyLink, @SALTStaffing, @MorganStanley, @Darktrace (UK).'",Quick hits broad policy work from home,0.25,0.25,,0.0625,,,
16-03-2020 07:03,b'Trials for coronavirus will begin in the Greater Seattle Area soon. Are you ready? Donald Trump should come here to\xe2\x80\xa6 https://t.co/rFsXNZ1P5P',Trials coronavirus will begin Greater Seattle Area soon ready Donald Trump should come here https rFsXNZ,0.525,0.625,,0.328125,,,
16-03-2020 06:51,"b""@dhh @Verint @kingstontech @CenturyLink @SALTStaffing @MorganStanley @Darktrace I'm surprised on mentioning Morgan\xe2\x80\xa6 https://t.co/TzAABj6Zfc""",surprised mentioning Morgan https TzAABj,0,0,,0,,,
17-03-2020 03:21,b'@CenturyLink What about linking Title 1 students to the internet for the next 60 days?  They need access for learning.',What about linking Title students internet next days They need access learning,0,0,,0,,,
17-03-2020 03:15,b'@CenturyLink  I need help with my century link service',need help with century link service,0,0,,0,,,
17-03-2020 03:10,b'.@CenturyLink will help digitize the #2020Census. #TeamCTL  https://t.co/c72nkHvngE https://t.co/pMgspRHWiQ',will help digitize Census TeamCTL https nkHvngE https pMgspRHWiQ,0.1,0.9,,0.09,,,
17-03-2020 03:01,"b""@drewbiedoobie12 @kellen_quick @MkInNH @SNFonNBC Sound escapes upwards in open-air stadiums (it's why domes are alw\xe2\x80\xa6 https://t.co/89tqgKB9P3""",Sound escapes upwards open stadiums domes https tqgKB,0.25,0.333333333,,0.083333333,,,
17-03-2020 02:58,"b'@CraigHerreraTV Incredible \xf0\x9f\x93\xb8 (my first Seattle residence was on 5th and Weller - atop the Uwajimaya Market - a hop,\xe2\x80\xa6 https://t.co/np7ILTNncw'",Incredible first Seattle residence Weller atop Uwajimaya Market https ILTNncw,0.416666667,0.65,,0.270833333,,,
17-03-2020 02:52,b'RT @CenturyLink: CenturyLink has committed to the Keep Americans Connected pledge. Learn more here: https://t.co/megna9AKWG',CenturyLink committed Keep Americans Connected pledge Learn more here https megna AKWG,0,0,,0,,,
17-03-2020 02:43,b'CenturyLink takes measures to lighten the crisis load\nhttps://t.co/edFH2gQJfp',CenturyLink takes measures lighten crisis load nhttps edFH gQJfp,0,0,,0,,,
17-03-2020 02:38,b'@gkittle46 They should get the same guys who pump the sound into centurylink for the seahawks',They should same guys pump sound into centurylink seahawks,0.225,0.65,,0.14625,,,
17-03-2020 02:20,"b""The first message of positive news I've seen today! @CenturyLink https://t.co/ub9jlBKM6b""",first message positive news seen today https jlBKM,0.133333333,0.355555556,,0.047407407,,,
17-03-2020 02:18,b'RT @FeddyGovs: @CoxComm @CenturyLink do this for AZ now please! https://t.co/paay3sDDHw',this please https paay sDDHw,0,0,,0,,,
17-03-2020 02:17,"b""@zackwhittaker Believe it or not, my roommate hasn't been working from home and he works in a job that can be FULLY\xe2\x80\xa6 https://t.co/h86STY1N5A""",Believe roommate hasn been working from home works that FULLY https,0.5,0.5,,0.25,,,
17-03-2020 02:12,b'@CoxComm @CenturyLink do this for AZ now please! https://t.co/paay3sDDHw',this please https paay sDDHw,0,0,,0,,,
17-03-2020 02:07,b'RT @CenturyLink: What happens to a network when we unexpectedly have to stay at home? CenturyLink has prepared for just this type of challe\xe2\x80\xa6',What happens network when unexpectedly have stay home CenturyLink prepared just this type challe,0.197916667,0.40625,,0.080403646,,,
17-03-2020 02:06,b'RT @CenturyLink: What happens to a network when we unexpectedly have to stay at home? CenturyLink has prepared for just this type of challe\xe2\x80\xa6',What happens network when unexpectedly have stay home CenturyLink prepared just this type challe,0.35,0.5,,0.175,,,
17-03-2020 02:00,b'Aye! S/O @CenturyLink fam holding it down during the crisis.\xf0\x9f\x98\x82\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbf',holding down during crisis,0.1,0.9,,0.09,,,
17-03-2020 17:29,b'RT @CenturyLink: Learn about our well-being focused approach to COVID-19 here: https://t.co/LF6csvKd5T',Learn about well being focused approach COVID here https csvKd,0,0,,0,,,
17-03-2020 17:25,"b'Nervous to apply for a job like ""Service Technician - Temporary Full-Time - Minong WI"" at CenturyLink? Apply even i\xe2\x80\xa6 https://t.co/q7q7MY67Bo'",Nervous apply like Service Technician Temporary Full Time Minong CenturyLink Apply even https,0,0,,0,,,
17-03-2020 17:23,b'Bravo @CenturyLink - more action like this please! https://t.co/HIjVd7p3Us',Bravo more action like this please https HIjVd,0.1,0.9,,0.09,,,
17-03-2020 17:23,b'@CenturyLink your service down for everyone or just me?',your service down everyone just,0.25,0.333333333,,0.083333333,,,
17-03-2020 17:18,"b""@CenturyLink this'd be a wonderful time to continue that gigabit buildout in Seattle! Been 2 blocks away for 5 year\xe2\x80\xa6 https://t.co/DjuaF1DhyE""",this wonderful time continue that gigabit buildout Seattle Been blocks away year https DjuaF DhyE,0.416666667,0.65,,0.270833333,,,
17-03-2020 17:18,"b'RT @dhh: Quick hits. No broad-policy work-from-home at @verint, @kingstontech, @CenturyLink, @SALTStaffing, @MorganStanley, @Darktrace (UK).'",Quick hits broad policy work from home,0,0,,0,,,
17-03-2020 17:15,"b'Even though these disciplines go hand-in-hand, User Interface Design and User Experience actually tackle completely\xe2\x80\xa6 https://t.co/V8GnJAMUeT'",Even though these disciplines hand hand User Interface Design User Experience actually tackle completely https GnJAMUeT,0,0,,0,,,
17-03-2020 17:12,"b'Want to land a job like ""Work at Home_Center Sales and Service Associate"" at CenturyLink? Applicant tracking system\xe2\x80\xa6 https://t.co/Q0t87zD34W'",Want land like Work Home Center Sales Service Associate CenturyLink Applicant tracking system https,0.225,0.65,,0.14625,,,
17-03-2020 17:12,"b'RT @dhh: Quick hits. No broad-policy work-from-home at @verint, @kingstontech, @CenturyLink, @SALTStaffing, @MorganStanley, @Darktrace (UK).'",Quick hits broad policy work from home,0.133333333,0.355555556,,0.047407407,,,
17-03-2020 17:07,b'RT @MetroDenverEDC: A big thank you to #MetroDenverEDC investors @Comcast and @CenturyLink for this import step toward expanded WiFi access\xe2\x80\xa6',thank MetroDenverEDC investors this import step toward expanded WiFi access,0,0,,0,,,
17-03-2020 17:00,b'Revisiting the remote work policy for your #business? Make sure it includes these essential clauses. #WFH\xe2\x80\xa6 https://t.co/X9qnsKIQqG',Revisiting remote work policy your business Make sure includes these essential clauses https qnsKIQqG,0.5,0.5,,0.25,,,
17-03-2020 16:59,b'Comcast out here giving free service to their customers during this crazy time. Meanwhile centurylink out here like\xe2\x80\xa6 https://t.co/xHDZMn83wu',Comcast here giving free service their customers during this crazy time Meanwhile centurylink here like https xHDZMn,0,0,,0,,,
17-03-2020 16:56,b'CenturyLink Engage helps your #business modernize your collaboration services with easy-to-use technology. Watch th\xe2\x80\xa6 https://t.co/GZJ78iN1zd',CenturyLink Engage helps your business modernize your collaboration services with easy technology Watch https,0.197916667,0.40625,,0.080403646,,,
17-03-2020 16:50,b'@Seahawks @CenturyLink_Fld CenturyLink field',CenturyLink field,0.35,0.5,,0.175,,,
17-03-2020 16:49,b'CenturyLink ain\xe2\x80\x99t shit \xf0\x9f\x98\x82 \n\nTalking about they\xe2\x80\x99re \xe2\x80\x9cwAiViNg lAtE fEes\xe2\x80\x9d \n\n\xf0\x9f\x97\xa3BITCH WAIVE THE WHOLE DAMN BILL',CenturyLink shit nTalking about they cwAiViNg lAtE fEes BITCH WAIVE WHOLE DAMN BILL,0.1,0.9,,0.09,,,
18-03-2020 08:16,"b'@IseIsJade @CoxComm @CenturyLink Hi LJ, this is not the experience we want for a customer and we would like to help\xe2\x80\xa6 https://t.co/ugx0XhWPEe'",this experience want customer would like help https XhWPEe,0,0,,0,,,
18-03-2020 07:49,"b'CenturyLink waiving fees, not disconnecting service during coronavirus pandemic https://t.co/EVgAHrZpyN'",CenturyLink waiving fees disconnecting service during coronavirus pandemic https EVgAHrZpyN,0,0,,0,,,
18-03-2020 07:45,"b'RT @EducationMN: If students need internet access while schools are closed, these companies are offering it for free or reduced cost for ne\xe2\x80\xa6'",students need internet access while schools closed these companies offering free reduced cost,0,0,,0,,,
18-03-2020 07:44,"b'Nervous to apply for a job like ""Network Act/Deployment Engineer"" at CenturyLink? Apply even if you\'re not a 100% m\xe2\x80\xa6 https://t.co/hO6r4K5UQX'",Nervous apply like Network Deployment Engineer CenturyLink Apply even https,0.2,0.45,,0.09,,,
18-03-2020 07:43,b'RT @FOX5Vegas: Cable providers and energy companies are stepping up to help customers in their time of need https://t.co/laPEgn0ZoL',Cable providers energy companies stepping help customers their time need https laPEgn,0.575,0.616666667,,0.354583333,,,
18-03-2020 07:40,"b'@CenturyLink Tell you what, you assholes come install a new line and let me speed test the shit on the spot.  If it\xe2\x80\xa6 https://t.co/pZmgctUTSD'",Tell what assholes come install line speed test shit spot https pZmgctUTSD,0.5,0.5,,0.25,,,
18-03-2020 07:38,b'@ABomb88 @Zakuani11 @brad_evans3 @SoundersFC @CenturyLink_Fld @ChuckArnoldSEA Please do the right thing for these w\xe2\x80\xa6 https://t.co/wuwzGIenFD',Please right thing these https wuwzGIenFD,0,0,,0,,,
18-03-2020 07:37,"b""@CenturyLink I was thinking about giving your fiber service a shot, but now I'm unsure.  Been on the verge for mont\xe2\x80\xa6 https://t.co/H02ZqFqgfL""",thinking about giving your fiber service shot unsure Been verge mont https ZqFqgfL,0.2,0.2625,,0.0525,,,
18-03-2020 07:36,b'@ABomb88 @Zakuani11 @brad_evans3 @SoundersFC I second this. The support has been well documented  from other teams/\xe2\x80\xa6 https://t.co/GJXUdUvLcz',second this support been well documented from other teams https GJXUdUvLcz,0.238636364,0.439393939,,0.104855372,,,
18-03-2020 07:35,"b'@CenturyLink I\'ve heard all this shit before.....yeah, yeah, you can provide ""x, y, and z"".  No you can\'t!  Every t\xe2\x80\xa6 https://t.co/g2brAAenlR'",heard this shit before yeah yeah provide Every https brAAenlR,0,0,,0,,,
18-03-2020 07:34,"b""@CenturyLink If I'm trying to limit my exposure to others, I don't want some asshole who doesn't understand the con\xe2\x80\xa6 https://t.co/58FCLjUw9c""",trying limit exposure others want some asshole doesn understand https FCLjUw,0,0,,0,,,
18-03-2020 07:33,"b'@CenturyLink Aside from the fact that nobody wants to deal with your ""never take \'no\' for an answer"" door-to-door b\xe2\x80\xa6 https://t.co/iQKAhYKGIQ'",Aside from fact that nobody wants deal with your never take answer door door https iQKAhYKGIQ,0,0,,0,,,
18-03-2020 07:25,"b'RT @HowardWattsNV: UTILITIES: Basically all water, electric, gas, and communications utilities have agreed to waive fees, halt disconnectin\xe2\x80\xa6'",UTILITIES Basically water electric communications utilities have agreed waive fees halt disconnectin,0.1,1,,0.1,,,
18-03-2020 07:21,"b'Can you recommend anyone for this #IT job in #Madrid, Community of Madrid? Click the link in our bio to see it and\xe2\x80\xa6 https://t.co/nH44XLI1LC'",recommend anyone this Madrid Community Madrid Click link https,0.1,1,,0.1,,,
18-03-2020 07:17,"b'@networkservice @LynnRGrant @Enno_Insinuator @ubnt Dunno, my goal is to improve my WiFi at home, not competing with\xe2\x80\xa6 https://t.co/1wASI3UY3E'",Dunno goal improve WiFi home competing with https wASI,-0.155555556,0.288888889,,-0.044938272,,,
18-03-2020 17:33,"b'@vicky_brogan ""All truncated games will be televised on AT&amp;T SportsNet in Las Vegas and will be available on DIRECT\xe2\x80\xa6 https://t.co/zPQJdjRPLn'",truncated games will televised SportsNet Vegas will available DIRECT https zPQJdjRPLn,0,0,,0,,,
18-03-2020 17:33,"b'RT @SenatorFischer: This is positive news for Nebraska customers of @ATT, ATC Communications, Cable One, Cellular One, @CenturyLink, Charte\xe2\x80\xa6'",This positive news Nebraska customers Communications Cable Cellular Charte,0,0,,0,,,
18-03-2020 17:33,"b'This is positive news for Nebraska customers of @ATT, ATC Communications, Cable One, Cellular One, @CenturyLink, Ch\xe2\x80\xa6 https://t.co/RbWPRDYig1'",This positive news Nebraska customers Communications Cable Cellular https RbWPRDYig,0,0,,0,,,
18-03-2020 17:33,"b""RT @CityofPhoenixAZ: Reminder: Today's 230pm #PHX Formal City Council meeting will be audience-free.\n\n\xf0\x9f\x93\x9dHow to submit a formal comment: http\xe2\x80\xa6""",Reminder Today Formal City Council meeting will audience free dHow submit formal comment http,0.2,0.45,,0.09,,,
18-03-2020 17:29,"b'There has been some structural damage to the CenturyLink hub, he says, but those are cosmetic and have not impacted\xe2\x80\xa6 https://t.co/o8TX3QPT26'",There been some structural damage CenturyLink says those cosmetic have impacted https,0.575,0.616666667,,0.354583333,,,
18-03-2020 17:22,b'#centurylink Currently there may be outages! #centurylinkdown more informations at: https://t.co/ZV2SvJZ82N',centurylink Currently there outages centurylinkdown more informations https SvJZ,0.5,0.5,,0.25,,,
18-03-2020 17:22,b'RT @boisemayor: Now is the time to come together and help one another. Thank you @SUEZwaterID @intermountaingas @idahopower @CenturyLink @s\xe2\x80\xa6',time come together help another Thank,0,0,,0,,,
18-03-2020 17:19,b'@CenturyLink can I get some help with my tracking number. I am getting through to no one over the phone.',some help with tracking number getting through over phone,0.2,0.2625,,0.0525,,,
18-03-2020 17:18,"b'Click the link in our bio to see currently open #SkilledTrade jobs like ""Network Technician (Telluride, CO)"" at Cen\xe2\x80\xa6 https://t.co/VHX6DqWvQc'",Click link currently open SkilledTrade jobs like Network Technician Telluride https DqWvQc,0.238636364,0.439393939,,0.104855372,,,
18-03-2020 17:17,b'RT @boisemayor: Now is the time to come together and help one another. Thank you @SUEZwaterID @intermountaingas @idahopower @CenturyLink @s\xe2\x80\xa6',time come together help another Thank,0,0,,0,,,
18-03-2020 17:16,"b'RT @juliebfriedman: Who\xe2\x80\x99s not loosing money during this virus outbreak? TV cable companies and cell phone providers. Hey @cox cable, @attuv\xe2\x80\xa6'",loosing money during this virus outbreak cable companies cell phone providers cable,0,0,,0,,,
18-03-2020 17:15,"b""If you're looking for work in #Broomfield, CO, check out this job: https://t.co/Q3EYeRV6zV #BusinessMgmt""",looking work Broomfield check this https EYeRV BusinessMgmt,0,0,,0,,,
18-03-2020 17:15,"b""@locus200k What WiFi network do you have? If its CenturyLink....that's why""",What WiFi network have CenturyLink that,0.1,1,,0.1,,,
18-03-2020 17:15,b'RT @boisemayor: Now is the time to come together and help one another. Thank you @SUEZwaterID @intermountaingas @idahopower @CenturyLink @s\xe2\x80\xa6',time come together help another Thank,0.1,1,,0.1,,,
18-03-2020 17:13,"b""@Scobleizer Nice! I've got 1Gb CenturyLink at my house on black fiber (10 Gb max) for $79 \xf0\x9f\xa4\x98""",Nice CenturyLink house black fiber,-0.155555556,0.288888889,,-0.044938272,,,
